"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:19","","(vzdech)","","","DIA_BaalCadar_NoTalk_Hi_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:20","... Sterblicher? ... Wer, ich? ... Ich geh ja schon!","...Smrtelník? ...kdo, já? ...Dobrá,  já si jdu po svých!","","","Info_Saturas_EXIT_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:55","Moment... Wer... Wer spricht hier.","Zadrž... Kdo... Kdo to na mě mluví?","","","Info_XardasDemon_INTRO_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:57","DUUUU sprichst zu mir ??? Wie ... wie kommst du in meinen Kopf?","TY na mě mluvíš??? Jak... Ty ses dostal do mojí hlavy?","","","Info_XardasDemon_INTRO_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:58","","(vzdech)","","","DIA_BaalCadar_NoTalk_Hi_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:59","Du bist was? ... der Diener deines Herren?","Co jsi zač?... Služebník svého pána?","","","Info_XardasDemon_INTRO_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:60","Du erscheinst mir eher wie eine Kreatur der Hölle!","Vypadáš jako pekelná příšera!","","","Info_XardasDemon_INTRO_15_04","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:61","","(vzdech)","","","DIA_BaalCadar_NoTalk_Hi_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:62","Ich soll schweigen?","Chceš, abych byl zticha?","","","Info_XardasDemon_INTRO_15_05","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:74","Heißt Dein Herr und Meister zufällig Xardas?","Nejmenuje se tvůj pán náhodou Xardas?","","","Info_XardasDemon_MASTERWHO.description","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:87","Heißt dein Herr und Meister zufällig Xardas?","Nejmenuje se tvůj pán náhodou Xardas?","","","Info_XardasDemon_MASTERWHO_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:88","","(vzdech)","","","DIA_BaalCadar_NoTalk_Hi_02_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:89","Aha ... Namen sind also unwichtig ... Okay.","Och, jistě... Jména nejsou podstatná... Dobře.","","","Info_XardasDemon_MASTERWHO_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:90","Ich gehe einfach mal davon aus, dass das hier der Turm von Xardas ist.","Předpokládejme, že to, co je tady, je Xardasova věž.","","","Info_XardasDemon_MASTERWHO_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:102","Ich muss mit deinem Meister sprechen!","Musím mluvit s tvým pánem!","","","Info_XardasDemon_MASTERHOW.description","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:115","Ich muss mit deinem Meister sprechen!","Musím mluvit s tvým pánem!","","","Info_XardasDemon_MASTERHOW_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:116","","(vzdech)","","","DIA_BaalCadar_NoTalk_Hi_02_01","",""
