"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","1 Stück rohes Fleisch braten.","Assar 1 pedaço de carne crua.","","False","PC_FryMeat_1.description","",""
"","5 Stücke rohes Fleisch braten.","Assar 5 pedaços de carne crua.","","False","PC_FryMeat_5.description","",""
"","10 Stücke rohes Fleisch braten.","Assar 10 pedaços de carne crua.","","False","PC_FryMeat_10.description","",""
"","Alles braten. (","Assar tudo. (","","False","DESC_FRYMEAT_ALL","",""
"","1 x Rohstahl erhitzen.","Aquecer 1 barra de aço bruto.","","False","PC_SmithFire_1.description","",""
"","5 x Rohstahl erhitzen.","Aquecer 5 barras de aço bruto.","","False","PC_SmithFire_5.description","",""
"","10 x Rohstahl erhitzen.","Aquecer 10 barras de aço bruto.","","False","PC_SmithFire_10.description","",""
"","Gesamten Rohstahlvorrat erhitzen. (","Aqueça todo o aço bruto. (","","False","DESC_SMITHFIRE_ALL","",""
"","1 x glühenden Stahl schmieden.","Forjar 1 lâmina com aço incandescente.","","False","PC_SmithAnvil_1.description","",""
"","5 x glühenden Stahl schmieden.","Forjar 5 lâminas com aço incandescente.","","False","PC_SmithAnvil_5.description","",""
"","10 x glühenden Stahl schmieden.","Forjar 10 lâminas com aço incandescente.","","False","PC_SmithAnvil_10.description","",""
"","Alles schmieden. (","Forjar lâminas com todos os lingotes de aço incandescentes. (","","False","DESC_SMITHANVIL_ALL","",""
"","eine glühende Klinge abschrecken.","Temperar 1 lâmina incandescente.","","False","PC_SmithCool_1.description","",""
"","5 glühende Klingen abschrecken.","Temperar 5 lâminas incandescentes.","","False","PC_SmithCool_5.description","",""
"","10 glühende Klingen abschrecken.","Temperar 10 lâminas incandescentes.","","False","PC_SmithCool_10.description","",""
"","Alle glühenden Klingen abschrecken. (","Temperar todas as lâminas incandescentes. (","","False","DESC_SMITHCOOL_ALL","",""
"","eine Klinge als Schwert schleifen.","Afiar 1 lâmina para transformá-la em espada.","","False","PC_SmithSharp_1.description","",""
"","5 Klingen als Schwerter schleifen.","Afiar 5 lâminas para transformá-las em espadas.","","False","PC_SmithSharp_5.description","",""
"","10 Klingen als Schwerter schleifen.","Afiar 10 lâminas para transformá-las em espadas.","","False","PC_SmithSharp_10.description","",""
"","Alle Klingen als Schwerter schleifen. (","Afiar todas as lâminas para transformá-las em espadas. (","","False","DESC_SMITHSHARP_ALL","",""
