"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:46","Warte doch mal! Ich hab' gehört, du hast dich mit Bloodwyn unterhalten?","Zaczekaj! Słyszałem, że gadałeś z Bloodwynem?","","","DIA_Herek_Bully_01_00","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:47","Warum? Was willst du?","A co? Czego chcesz?","","","DIA_Herek_Bully_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:48","Fand ich echt gut von dir, dass du dich geweigert hast, ihm Schutzgeld zu zahlen!","Niezły z ciebie gość! Niewielu ma tyle odwagi, żeby mu podskoczyć!","","","DIA_Herek_Bully_01_02","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:49","Das heißt, wir anderen müssen deinen Teil mitbezahlen!","A to oznacza, że teraz my wszyscy będziemy musieli płacić twoją dolę.","","","DIA_Herek_Bully_01_03","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:50","Ich werde dafür sorgen, dass du dich daran erinnerst, wenn er dich das nächste Mal fragt ...","Postaram się, żebyś o tym pamiętał, gdy Bloodwyn znów poprosi cię o datek.","","","DIA_Herek_Bully_01_04","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:69","Na, wie sieht's aus?","Co słychać?","","","DIA_Herek_Motz.description","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:82","Na, wie sieht's aus?","Co słychać?","","","DIA_Herek_Motz_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:83","In diesem Lager ist nicht genug Platz für uns beide!","W tym obozie jest miejsce tylko dla jednego z nas!","","","DIA_Herek_Motz_01_01","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:84","Bitte was?","Co proszę?","","","DIA_Herek_Motz_15_02","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:85","Wenn es nach mir ginge, würdest du hier nicht alt!","Gdyby to zależało ode mnie, dawno już byś nie żył!","","","DIA_Herek_Motz_01_03","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:86","Weißt du, warum ich hier bin? In einer Nacht habe ich ein Dutzend Leute umgebracht. Einfach nur so ... hä hä hä!","Wiesz dlaczego tu trafiłem? Zabiłem dwunastu ludzi jednej nocy, ot - tak sobie... Hi hi hi!","","","DIA_Herek_Motz_01_04","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:103","Du denkst, du bist einer von den Harten? Versuch's doch nochmal bei mir.","Myślisz, że taki twardziel z ciebie? Może spróbujesz szczęścia ze mną?!","","","DIA_Herek_Anlegen.description","",""
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:116","So, du denkst also, du bist einer von den Harten? Versuch's doch mal bei mir ...","Myślisz, że taki twardziel z ciebie? Może spróbujesz szczęścia ze mną?!","","","DIA_Herek_Anlegen_15_00","",""
