"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","1 Stück rohes Fleisch braten.","Asar 1 trozo de carne cruda.","","False","PC_FryMeat_1.description","",""
"","5 Stücke rohes Fleisch braten.","Asar 5 trozos de carne cruda.","","False","PC_FryMeat_5.description","",""
"","10 Stücke rohes Fleisch braten.","Asar 10 trozos de carne cruda.","","False","PC_FryMeat_10.description","",""
"","Alles braten. (","Asar todos los trozos de carne cruda restantes. (","","False","DESC_FRYMEAT_ALL","",""
"","1 x Rohstahl erhitzen.","Calentar 1 pieza de acero en bruto.","","False","PC_SmithFire_1.description","",""
"","5 x Rohstahl erhitzen.","Calentar 5 piezas de acero en bruto.","","False","PC_SmithFire_5.description","",""
"","10 x Rohstahl erhitzen.","Calentar 10 piezas de acero en bruto.","","False","PC_SmithFire_10.description","",""
"","Gesamten Rohstahlvorrat erhitzen. (","Calentar todas las piezas de acero en bruto restantes. (","","False","DESC_SMITHFIRE_ALL","",""
"","1 x glühenden Stahl schmieden.","Forjar 1 hoja con una pieza de acero brillante.","","False","PC_SmithAnvil_1.description","",""
"","5 x glühenden Stahl schmieden.","Forjar 5 hojas con piezas de acero brillante.","","False","PC_SmithAnvil_5.description","",""
"","10 x glühenden Stahl schmieden.","Forjar 10 hojas con piezas de acero brillante.","","False","PC_SmithAnvil_10.description","",""
"","Alles schmieden. (","Forjar hojas con todas las piezas de acero brillante restantes. (","","False","DESC_SMITHANVIL_ALL","",""
"","eine glühende Klinge abschrecken.","Enfriar 1 hoja brillante.","","False","PC_SmithCool_1.description","",""
"","5 glühende Klingen abschrecken.","Enfriar 5 hojas brillantes.","","False","PC_SmithCool_5.description","",""
"","10 glühende Klingen abschrecken.","Enfriar 10 hoja brillante.","","False","PC_SmithCool_10.description","",""
"","Alle glühenden Klingen abschrecken. (","Enfriar todas las hojas brillantes restantes. (","","False","DESC_SMITHCOOL_ALL","",""
"","eine Klinge als Schwert schleifen.","Afilar 1 hoja y convertirla en una espada.","","False","PC_SmithSharp_1.description","",""
"","5 Klingen als Schwerter schleifen.","Afilar 5 hojas y convertirlas en espadas.","","False","PC_SmithSharp_5.description","",""
"","10 Klingen als Schwerter schleifen.","Afilar 10 hojas y convertirlas en espadas.","","False","PC_SmithSharp_10.description","",""
"","Alle Klingen als Schwerter schleifen. (","Afilar todas las hojas restantes en espadas. (","","False","DESC_SMITHSHARP_ALL","",""
