"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:33","Du kümmerst dich um die Reisfelder, richtig?","Ти дбаєш про рисові поля, чи як?","","","DIA_Ricelord_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:43","Du kümmerst dich um die Reisfelder, richtig?","Ти дбаєш про рисові поля, чи як?","","","DIA_Ricelord_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:44","Warum? Suchst du Arbeit?","Чому ти запитуєш? Шукаєш роботу?","","","DIA_Ricelord_Hello_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:56","Hast du Arbeit für mich?","А у тебе є робота для мене?","","","DIA_Ricelord_Arbeit.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:71","Hast du Arbeit für mich?","А у тебе є робота для мене?","","False","DIA_Ricelord_Arbeit_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:72","Geh zu Lefty. Er ist meistens hier vorne rechts neben der Scheune.","Поговори з Ліваком. Зазвичай він повертає праворуч від складу.","","","DIA_Ricelord_Arbeit_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:86","Wir könnten handeln...","Може займемося ділом...","","","DIA_Ricelord_TRADE.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:99","Wir könnten handeln ...","Може займемося ділом...","","","DIA_Ricelord_TRADE_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:100","Was hast du denn zu bieten?","Що ти можеш запропонувати?","","False","DIA_Ricelord_TRADE_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:113","Lefty schickt mich.","Мене прислав Лівак.","","","DIA_Ricelord_LeftySentMe.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:129","Lefty schickt mich.","Мене прислав Лівак.","","","DIA_Ricelord_LeftySentMe_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:130","Ach so. Was hat er gesagt?","Так? І що він сказав?","","","DIA_Ricelord_LeftySentMe_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:144","Ich soll den Bauern Wasser bringen.","Я маю принести води збирачам рису.","","False","DIA_Ricelord_GetWater.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:157","Ich soll den Bauern Wasser bringen.","Я маю принести води збирачам рису.","","False","DIA_Ricelord_GetWater_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:161","Gut. Hier sind ein Dutzend Flaschen Wasser.","Добре. Тут є дюжина пляшок.","","","DIA_Ricelord_GetWater_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:162","Es gibt etwa doppelt so viele Bauern, also verteil sie gleichmäßig.","Це приблизно вдвічі менше, ніж збирачів, тому постарайся розподілити їх справедливо.","","","DIA_Ricelord_GetWater_12_02","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:174","Das war gestern, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","Це було вчора, хлопче. Краще поговори з Ліваком ще раз. Мені здається, йому є що тобі сказати.","","","DIA_Ricelord_GetWater_TooLate_12_00","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:179","Das war vor einigen Tagen, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","Хлопче, це було пару днів тому. Краще поговори з Ліваком ще раз. Мені здається, йому є що тобі сказати.","","","DIA_Ricelord_GetWater_TooLate_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:34","Lefty schickt mich. Ich hab' Wasser für dich.","Мене прислав Лівак. Я приніс тобі води.","","","Info_Horatio_Wasser.description","",""
"Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:48","Lefty schickt mich. Ich hab' Wasser für dich.","Мене прислав Лівак. Я приніс тобі води.","","","Info_Horatio_Wasser_15_00","",""
