"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:26","Ich bin Diego.","Soy Diego.","","","Info_Diego_Gamestart_11_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:27","Ich bin...","Yo soy...","","","Info_Diego_Gamestart_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:28","Mich interessiert nicht, wer du bist. Du bist neu hier. Ich kümmere mich um die Neuen. Belassen wir es vorerst dabei.","No me interesa saber quien eres. Acabas de llegar y yo me encargo de los nuevos. Eso es todo por ahora.","","","Info_Diego_Gamestart_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:29","Wenn du vorhast, länger zu leben, solltest du dich ein bißchen mit mir unterhalten. Ich werde dich allerdings nicht daran hindern, in dein Verderben zu rennen. Also, wie sieht's aus?","Si planeas seguir con vida mucho tiempo, deberías hablar conmigo. Pero, por supuesto, no seré yo quien te impida elegir tu propia destrucción. Bueno, ¿qué opinas?","","","Info_Diego_Gamestart_11_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:53","Danke für die Hilfe.","Gracias por tu ayuda.","","","Info_Diego_EXIT_Gamestart_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:57","Wie du willst. War nett, dich gekannt zu haben.","Tú decides. Ha sido un placer conocerte.","","","Info_Diego_EXIT_Gamestart_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:61","Wir sehen uns im Alten Lager.","Nos veremos en el Campamento Viejo.","","","Info_Diego_EXIT_Gamestart_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:96","Weiter geht's.","Vamos.","","","Info_Diego_EXIT_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:100","Mach's gut.","Cuídate.","","","Info_Diego_EXIT_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:115","Ich habe einen Brief für den obersten Feuermagier.","Tengo una carta para el Gran Mago del Círculo del Fuego.","","","Info_Diego_Brief.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:128","Ich habe einen Brief für den obersten Feuermagier.","Tengo una carta para el Gran Mago del Círculo del Fuego.","","","Info_Diego_Brief_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:129","So...?","¿De verdad...?","","","Info_Diego_Brief_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:130","Ein Magier hat ihn mir gegeben, kurz bevor sie mich reingeworfen haben.","Me la entregó un mago poco antes de que me arrojaran aquí.","","","Info_Diego_Brief_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:131","Du kannst von Glück sagen, dass ich mich bei den Magiern nicht mehr blicken lassen kann. Jeder andere wird dir mit Freude für diesen Brief die Kehle durchschneiden.","Tienes suerte de que ya no pueda acercarme a los magos. Cualquier otro te cortaría el gaznate por esa carta.","","","Info_Diego_Brief_11_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:132","Die Magier belohnen ihre Boten immer sehr gut, und die meisten hier haben gar nichts, verstehst du?","Porque los magos pagan espléndidamente a sus mensajeros y aquí hay mucha gente que no tiene nada.","","","Info_Diego_Brief_11_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:133","Wenn ich du wäre, würde ich die Schnauze halten, bis ich einen der Magier treffe. Obwohl das in deiner Lage nicht allzu wahrscheinlich ist.","Yo en tu lugar me callaría hasta encontrarme con uno de los magos. Aunque, en tu situación, es improbable que eso ocurra.","","","Info_Diego_Brief_11_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:134","Wieso nicht?","¿Por qué no?","","","Info_Diego_Brief_15_06","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:135","Die Magier sind in der Burg im Alten Lager. Nur Gomez' Leuten ist es erlaubt, die Burg zu betreten.","Los magos están en el castillo del Campamento Viejo. A los únicos a los que se permite entrar en el castillo es a los hombres de Gómez.","","","Info_Diego_Brief_11_07","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:147","Warum hast du mir geholfen?","¿Por qué me ayudaste?","","","Info_Diego_WarumGeholfen.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:161","Warum hast du mir geholfen?","¿Por qué me has ayudado?","","","Info_Diego_WarumGeholfen_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:162","Weil du Hilfe gebraucht hast. Bullit und seine Jungs hätten dich vielleicht kaltgemacht.","Porque necesitabas ayuda; si no, Bullit y sus muchachos podían haberte matado.","","","Info_Diego_WarumGeholfen_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:163","Und das konnte ich nicht mit ansehen. Schließlich bin ich den ganzen weiten Weg gekommen um dir einen Vorschlag zu machen.","Y no podía quedarme de brazos cruzados. Porque he recorrido un largo camino para ofrecer una sugerencia.","","","Info_Diego_WarumGeholfen_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:164","Einen Vorschlag...","Una sugerencia...","","","Info_Diego_WarumGeholfen_15_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:165","Ja. Deine Begegnung mit Bullit und seinen Jungs hat dir hoffentlich gezeigt, dass du Schutz brauchst.","Sí. Tras este pequeño incidente con Bullit y sus muchachos, debes darte cuenta de que necesitas protección.","","","Info_Diego_WarumGeholfen_11_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:166","Jeder, der hier ankommt, wird vor eine Wahl gestellt. Es gibt drei Lager in der Kolonie, und einem davon wirst du dich anschließen müssen.","Todos los que llegan aquí pueden elegir. En la colonia hay tres campamentos y tendrás que unirte a uno de ellos. ","","","Info_Diego_WarumGeholfen_11_05","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:167","Ich bin hier, um Neuen wie dir klarzumachen, dass sie bei uns im alten Lager am besten aufgehoben sind.","Estoy aquí para decirle a los nuevos que el Campamento Viejo es el mejor lugar para ellos.","","","Info_Diego_WarumGeholfen_11_06","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:177","Wo ist dieser Bullit jetzt?","¿Dónde está Bullit?","","","Info_Diego_Bullit.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:190","Wo ist dieser Bullit jetzt?","¿Dónde esta Bullit ahora?","","","Info_Diego_Bullit_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:191","Er und die anderen bringen die Waren aus der Außenwelt ins alte Lager. Dort kannst du ihn finden.","Él y los otros traen las mercancías del mundo exterior al Campamento. Allí podrás encontrarle.","","","Info_Diego_Bullit_11_03","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:192","Aber wenn du vorhast, dich mit ihm anzulegen, sei vorsichtig. Er ist ein erfahrener Kämpfer.","Pero si piensas combatir con él, ten cuidado. Es un guerrero experimentado.","","","Info_Diego_Bullit_11_04","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:204","Okay, was muss ich über diesen Ort wissen?","Vale, ¿qué necesitas saber de este lugar?","","","Info_Diego_Kolonie.description","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:217","Okay, was muss ich über diesen Ort wissen?","Bueno, ¿qué es lo que necesito saber acerca de este lugar?","","","Info_Diego_Kolonie_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:218","Wir nennen es die Kolonie. Du wirst sicher schon gehört haben, dass wir hier Erz für den König fördern.","Lo llamamos la colonia. Ya sabes que producimos mineral para el rey. ","","","Info_Diego_Kolonie_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:219","Nun - zumindest wir vom alten Lager.","Bueno, al menos eso es lo que hacemos en el Campamento Viejo.","","","Info_Diego_Kolonie_11_02","",""
