"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","1 Stück rohes Fleisch braten.","Arrostisci 1 pezzo di carne cruda.","","False","PC_FryMeat_1.description","",""
"","5 Stücke rohes Fleisch braten.","Arrostisci 5 pezzi di carne cruda.","","False","PC_FryMeat_5.description","",""
"","10 Stücke rohes Fleisch braten.","Arrostisci 10 pezzi di carne cruda.","","False","PC_FryMeat_10.description","",""
"","Alles braten. (","Arrostisci tutti i pezzi di carne cruda. (","","False","DESC_FRYMEAT_ALL","",""
"","1 x Rohstahl erhitzen.","Arroventa 1 barra di acciaio grezzo.","","False","PC_SmithFire_1.description","",""
"","5 x Rohstahl erhitzen.","Arroventa 5 barre di acciaio grezzo.","","False","PC_SmithFire_5.description","",""
"","10 x Rohstahl erhitzen.","Arroventa 10 barre di acciaio grezzo.","","False","PC_SmithFire_10.description","",""
"","Gesamten Rohstahlvorrat erhitzen. (","Arroventa tutte le barre di acciaio grezzo. (","","False","DESC_SMITHFIRE_ALL","",""
"","1 x glühenden Stahl schmieden.","Forgia 1 lama da una barra di acciaio incandescente.","","False","PC_SmithAnvil_1.description","",""
"","5 x glühenden Stahl schmieden.","Forgia 5 lame da delle barre di acciaio incandescenti.","","False","PC_SmithAnvil_5.description","",""
"","10 x glühenden Stahl schmieden.","Forgia 10 lame da delle barre di acciaio incandescenti.","","False","PC_SmithAnvil_10.description","",""
"","Alles schmieden. (","Forgia tutte le lame da delle barre di acciaio incandescenti. (","","False","DESC_SMITHANVIL_ALL","",""
"","eine glühende Klinge abschrecken.","Tempra 1 lama incandescente.","","False","PC_SmithCool_1.description","",""
"","5 glühende Klingen abschrecken.","Tempra 5 lame incandescenti.","","False","PC_SmithCool_5.description","",""
"","10 glühende Klingen abschrecken.","Tempra 10 lame incandescenti.","","False","PC_SmithCool_10.description","",""
"","Alle glühenden Klingen abschrecken. (","Tempra tutte le lame incandescenti. (","","False","DESC_SMITHCOOL_ALL","",""
"","eine Klinge als Schwert schleifen.","Affila 1 lama e crea una spada.","","False","PC_SmithSharp_1.description","",""
"","5 Klingen als Schwerter schleifen.","Affila 5 lame e crea delle spade.","","False","PC_SmithSharp_5.description","",""
"","10 Klingen als Schwerter schleifen.","Affila 10 lame e crea delle spade.","","False","PC_SmithSharp_10.description","",""
"","Alle Klingen als Schwerter schleifen. (","Affila tutte le lame e crea delle spade. (","","False","DESC_SMITHSHARP_ALL","",""
