"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:46","Was machst du denn hier? Hab nicht oft Besuch hier oben, hehe!","Cosa ci fai qui? Non ricevo molte visite. He, he!","","","DIA_Gilbert_First_04_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:47","War ne gute Leistung von dir, mein Versteck zu finden.","Sei stato bravo a scoprire il mio nascondiglio.","","","DIA_Gilbert_First_04_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:62","Was machst du hier?","Cosa stai facendo?","","","DIA_Gilbert_Hallo.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:72","Was machst du hier?","Cosa ci fai qui?","","","DIA_Gilbert_Hallo_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:73","Ich hatte die Schnauze voll vom alten Lager. Hatte Ärger mit Gomez Leuten. Ist aber schon ne Weile her.","Sono stufo di Campo Vecchio. Ho avuto dei problemi con la gente di Gomez, un po' di tempo fa.","","","DIA_Gilbert_Hallo_04_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:74","Schätze, jetzt kräht kein Hahn mehr danach. Aber ich bleibe hier. Im alten Lager rennen mir zu viele Schwachköpfe rum.","Immagino che nessuno lo ricordi più, oramai. Ciononostante rimarrò qui. Ci sono troppi idioti a Campo Vecchio, per i miei gusti.","","","DIA_Gilbert_Hallo_04_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:33","Du kommst aus der Freien Mine, richtig?","Vieni dalla miniera libera, vero?","","","DIA_Senyan_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:43","Du kommst aus der Freien Mine, richtig?","Vieni dalla miniera libera, vero?","","","DIA_Senyan_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:44","Richtig. Wie hast du das bloß rausgefunden?","Esatto. Come hai fatto a capirlo?","","","DIA_Senyan_Hello_01_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:58","Ich will nur mit dir reden.","Devo parlarti.","","","DIA_Senyan_JustTalk.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:71","Ich will nur mit dir reden.","Devo parlarti.","","","DIA_Senyan_JustTalk_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:72","Ich bin nicht zum Reden hier.","Non sono qui per parlare.","","","DIA_Senyan_JustTalk_01_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:34","Na, wie steht's in der Mine?","Come vanno le cose in miniera?","","","DIA_Sfb_1001_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:44","Na, wie steht's in der Mine?","Come vanno le cose in miniera?","","","DIA_Sfb_1001_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:45","Wir haben das Meiste hinter uns. Nur noch wenige Wochen, dann haben wir genug.","Abbiamo quasi finito. Fra poche settimane avremo quanto ci serve.","","","DIA_Sfb_1001_Hello_02_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:33","Wer bist du?","Chi sei?","","","Info_Swiney_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:43","Wer bist du?","Chi sei?","","","Info_Swiney_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:44","Ich bin der beste Bergbauer, den diese verdammte Kolonie jemals gesehen hat, mein Junge.","Sono il miglior ingegnere minerario che questa maledetta colonia abbia mai conosciuto, ragazzo mio.","","","Info_Swiney_Hello_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:45","Ich passe auf, dass nicht die Hälfte unserer Jungs von Steinen erschlagen werden, weil sie zu dumm sind, an der richtigen Stelle zu schürfen.","Sto attento che la metà dei lavoratori non rimanga schiacciata dai massi cadenti, solo perché è troppo stupida per scavare nei posti giusti.","","","Info_Swiney_Hello_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:57","Ich will bei euch als Schürfer mitmachen!","Voglio diventare un tritarocce!","","","Info_Swiney_Schuerfer.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:70","Ich will bei euch als Schürfer mitmachen!","Voglio diventare un tritarocce!","","","Info_Swiney_Schuerfer_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:71","So? Denk bloß nicht, du kannst hier viel erwarten. Jeden Tag gibt's 3 Portionen Reis und für den Rest musst du selber sorgen.","Davvero? Non credere di ottenere chissà quale beneficio! Hai diritto a tre porzioni di riso al giorno. Tutto il resto devi guadagnartelo.","","","Info_Swiney_Schuerfer_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:72","Du weißt, warum wir das hier machen? Wir machen die Arbeit, damit alle hier eines Tages wieder rausspazieren können.","Sai perché facciamo questo? Così un giorno potremo andarcene di qui e tornare a essere liberi.","","","Info_Swiney_Schuerfer_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:73","Das heißt, alles Erz wird abgegeben und kommt auf den großen Haufen. Und einmal im Monat kriegt jeder, der hier hart gearbeitet hat, 50 Brocken Erz zum Versaufen.","Questo significa che tutto il metallo estratto si aggiunge al cumulo. Una volta al mese, ogni lavoratore riceve uno stipendio di 50 pezzi.","","","Info_Swiney_Schuerfer_09_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:74","Das waren auch schon die wichtigsten Sachen, die du wissen musst.","Questa è la cosa più importante che devi sapere.","","","Info_Swiney_Schuerfer_09_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:75","Kennst du dich wenigstens mit der Arbeit aus?","Hai almeno un po' d'esperienza?","","","Info_Swiney_Schuerfer_09_05","",""
