"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:15","ENDE","KONEC","","False","Info_Bau_2_EXIT.description","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:37","Arbeitest du freiwillig auf den Reisfeldern?","Pracuješ na rýžových polích dobrovolně?","","False","Info_Bau_2_WichtigePersonen.description","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:47","Arbeitest du freiwillig auf den Reisfeldern?","Pracuješ na rýžových polích dobrovolně?","","False","Info_Bau_2_WichtigePersonen_15_00","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:48","Ja. Ja das tue ich. Ist nämlich besser freiwillig zu arbeiten, als von den Schlägern vom Reislord abgeholt zu werden.","Jasně. V pohodě. Lepší tu pracovat ze své vlastní vůle, než k tomu být donucen hrdlořezy Rýžového Lorda.","","False","Info_Bau_2_WichtigePersonen_02_01","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:49","So so ...","Aha...","","False","Info_Bau_2_WichtigePersonen_15_02","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:63","Was kannst du mir über das Lager erzählen?","Můžeš mi říci něco o táboře?","","False","Info_Bau_2_DasLager.description","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:73","Was kannst du mir über das Lager erzählen?","Můžeš mi něco říci o táboře?","","False","Info_Bau_2_DasLager_15_00","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:74","Es ist gefährlich, da hinzugehen. Lee's Söldner und die Magier sind ja ganz in Ordnung, aber auf die Banditen passt du besser auf!","Je nebezpečné tam chodit. Leeovi žoldáci a mágové jsou docela dobří, ale před bandity se musíš mít na pozoru!","","False","Info_Bau_2_DasLager_02_01","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:90","Alles klar bei dir?","Jsi v pořádku?","","False","Info_Bau_2_DieLage.description","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:100","Alles klar bei dir?","Jsi v pořádku?","","False","Info_Bau_2_DieLage_15_00","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:101","Was willst du? Hat Der Reislord dich geschickt? Ich arbeite doch jeden Tag!","Co chceš? Poslal tě Rýžový Lord? Pracuju, jak nejlépe můžu!","","False","Info_Bau_2_DieLage_02_01","",""
"Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:102","Niemand hat mich geschickt - ich will mich nur ein bisschen unterhalten.","Nikdo mě neposlal, jen jsem si chtěl popovídat.","","False","Info_Bau_2_DieLage_15_02","",""
