"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:46","Was machst du denn hier? Hab nicht oft Besuch hier oben, hehe!","Mitä sinä täällä teet? Täällä ei usein käy vieraita, hehe!","","False","DIA_Gilbert_First_04_00","",""
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:47","War ne gute Leistung von dir, mein Versteck zu finden.","Todella fiksua sinulta, että löysit piilopaikkani.","","False","DIA_Gilbert_First_04_01","",""
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:62","Was machst du hier?","Mitä sinä täällä teet?","","False","DIA_Gilbert_Hallo.description","",""
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:72","Was machst du hier?","Mitä sinä täällä teet?","","False","DIA_Gilbert_Hallo_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:73","Ich hatte die Schnauze voll vom alten Lager. Hatte Ärger mit Gomez Leuten. Ist aber schon ne Weile her.","Olin kyllästynyt vanhaan leiriin. Minulla oli ongelmia Gomezin väen kanssa. Siitä on kyllä jo aikaa.","","False","DIA_Gilbert_Hallo_04_01","",""
"Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:74","Schätze, jetzt kräht kein Hahn mehr danach. Aber ich bleibe hier. Im alten Lager rennen mir zu viele Schwachköpfe rum.","En usko, että kukaan välittää siitä enään. Mutta minä jään tänne. Vanhassa leirissä juoksentelee liikaa idiootteja.","","False","DIA_Gilbert_Hallo_04_02","",""
"Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:33","Du kommst aus der Freien Mine, richtig?","Olet Vapaasta Kaivoksesta, eikö niin?","","False","DIA_Senyan_Hello.description","",""
"Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:43","Du kommst aus der Freien Mine, richtig?","Olet Vapaasta Kaivoksesta, eikö niin?","","False","DIA_Senyan_Hello_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:44","Richtig. Wie hast du das bloß rausgefunden?","Kyllä vain. Miten sinä sen tajusit?","","False","DIA_Senyan_Hello_01_01","",""
"Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:58","Ich will nur mit dir reden.","Haluan vain puhua kanssasi.","","False","DIA_Senyan_JustTalk.description","",""
