"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:45","Was machst du hier? Wer hat dich hereingelassen? Wache!","¿Qué haces aquí? ¿Quién te ha dejado pasar? ¡Guardias!","","","DIA_YBerion_Wache_12_00","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:57","Sei gegrüßt, Meister Y'Berion.","Saludos, maese Y'Berion.","","","DIA_YBerion_Kennen.description","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:70","Sei gegrüßt, Meister Y'Berion.","Saludos, maestro Y'Berion.","","","DIA_YBerion_Kennen_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:71","Ah! Du kommst mir bekannt vor!","¡Ah! ¡Me suena tu cara!","","","DIA_YBerion_Kennen_12_01","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:72","Unmöglich. Wir haben uns noch nie gesehen.","Imposible. Jamás nos hemos visto.","","","DIA_YBerion_Kennen_15_02","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:73","Und ich dachte ... Nun gut - was willst du?","Pero creía... Bueno, ¿qué quieres?","","","DIA_YBerion_Kennen_12_03","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:86","Mir kam zu Ohren, du suchst etwas","He oído que buscabas algo.","","","Info_YBerion_BringFocus.description","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:102","Mir kam zu Ohren, du suchst etwas.","He oído que buscabas algo.","","","Sit_2_PSI_Yberion_BringFocus_Info_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:103","Das ist richtig. Wir brauchen einen magischen Fokus.","Eso es. Necesitamos un foco mágico.","","","Sit_2_PSI_Yberion_BringFocus_Info_12_02","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:104","Wir haben den Novizen Nyras losgeschickt, um den Fokus zu holen. Doch er ist bisher nicht zurückgekehrt.","Enviamos al novicio Nyras a buscar el foco, pero aún no ha vuelto.","","","Sit_2_PSI_Yberion_BringFocus_Info_12_03","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:105","Du könntest für mich nachsehen, was passiert ist!","¡Podrías averiguar lo que ha sucedido!","","","Sit_2_PSI_Yberion_BringFocus_Info_12_04","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:109","Ich werde den Fokus zurückbringen!","¡Recuperaré el foco!","","","Info_YBerion_BringFocus.Info_YBerion_BringFocus_OK","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:110","Wo soll ich suchen?","¿Dónde debo empezar la búsqueda?","","","Info_YBerion_BringFocus.Info_YBerion_BringFocus_WO","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:111","Was hat es mit dem Fokus auf sich?","¿Por qué es tan importante el foco?","","","Info_YBerion_BringFocus.Info_YBerion_BringFocus_FOKUS","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:121","Ich werde den Fokus zurückbringen!","¡Recuperaré el foco!","","","Sit_2_PSI_Yberion_BringFocus_OK_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:122","Nimm diese Karte hier, dort ist der Ort des Fokus verzeichnet.","Toma este mapa. Está marcada la ubicación del foco.","","","Sit_2_PSI_Yberion_BringFocus_OK_12_02","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:131","Wo soll ich suchen?","¿Dónde debo empezar la búsqueda?","","","Sit_2_PSI_Yberion_BringFocus_WO_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:132","Wenn du das Lager verlässt, wende dich nach rechts und steige hinauf zur großen Klippe. Dort, hinter dem Wald, wo du das Meer sehen kannst, wirst du den Fokus finden.","Sal del campamento, gira a la derecha y sube al precipicio alto. Atraviesa el bosque hasta que puedas ver el mar. Allí encontrarás el foco.","","","Sit_2_PSI_Yberion_BringFocus_WO_12_02","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:137","Was hat es mit dem Fokus auf sich?","¿Por qué es tan importante el foco?","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_15_01","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:138","Es ist ein magischer Gegenstand, der unsere geistigen Kräfte vereinigen wird.","Es un objeto mágico que puede concentrar nuestros poderes espirituales.","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_12_02","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:139","Es handelt sich dabei um einen der fünf Fokussteine, den die Magier zum Errichten der Barriere benutzt haben.","Es uno de los cinco focos de piedra usados por los magos para erigir la Barrera.","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_12_03","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:140","In einer Vision sah ich, dass wir uns die Kraft eines Fokus zu Nutze machen müssen.","En una visión vi que necesitábamos usar el poder del foco.","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_12_04","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:141","War wohl eine ziemlich spannende Vision.","Parece una visión interesante.","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_15_05","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:142","Meine Vision war ein Zeichen vom Schläfer. Mit dem Fokus können wir ihn erreichen!","Mi visión fue una señal del Durmiente. ¡Podemos alcanzarle con el foco!","","","Sit_2_PSI_Yberion_BringFocus_FOKUS_12_06","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:152","Ich habe den Fokus immer noch nicht gefunden.","Aún no he encontrado el foco.","","","Info_YBerion_BringFocus_RUNNING.description","",""
"Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:165","Ich habe den Fokus immer noch nicht gefunden.","Aún no he encontrado el foco.","","","Info_YBerion_BringFocus_RUNNING_15_01","",""
