"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:26","Ich bin Diego.","Sono Diego.","","","Info_Diego_Gamestart_11_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:27","Ich bin...","Io sono...","","","Info_Diego_Gamestart_15_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:28","Mich interessiert nicht, wer du bist. Du bist neu hier. Ich kümmere mich um die Neuen. Belassen wir es vorerst dabei.","Non m'interessa il tuo nome. Tu sei appena arrivato, io mi occupo dei nuovi arrivati: questo è tutto, per ora.","","","Info_Diego_Gamestart_11_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:29","Wenn du vorhast, länger zu leben, solltest du dich ein bißchen mit mir unterhalten. Ich werde dich allerdings nicht daran hindern, in dein Verderben zu rennen. Also, wie sieht's aus?","Se desideri restare vivo, farai meglio a parlare con me. Ovviamente, non t'impedirò di scegliere in che modo farti ammazzare. Allora, cosa ne dici?","","","Info_Diego_Gamestart_11_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:53","Danke für die Hilfe.","Grazie per l'aiuto.","","","Info_Diego_EXIT_Gamestart_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:57","Wie du willst. War nett, dich gekannt zu haben.","La decisione spetta a te. È stato un piacere.","","","Info_Diego_EXIT_Gamestart_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:61","Wir sehen uns im Alten Lager.","Ci rivedremo a Campo Vecchio.","","","Info_Diego_EXIT_Gamestart_11_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:96","Weiter geht's.","Andiamo.","","","Info_Diego_EXIT_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:100","Mach's gut.","Abbi cura di te.","","","Info_Diego_EXIT_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:115","Ich habe einen Brief für den obersten Feuermagier.","Ho una lettera per il Gran Mago del Circolo di Fuoco.","","","Info_Diego_Brief.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:128","Ich habe einen Brief für den obersten Feuermagier.","Ho una lettera per il Gran Mago del Circolo di Fuoco.","","","Info_Diego_Brief_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:129","So...?","Davvero?","","","Info_Diego_Brief_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:130","Ein Magier hat ihn mir gegeben, kurz bevor sie mich reingeworfen haben.","Me l'ha consegnata un mago, poco prima di gettarmi quaggiù.","","","Info_Diego_Brief_15_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:131","Du kannst von Glück sagen, dass ich mich bei den Magiern nicht mehr blicken lassen kann. Jeder andere wird dir mit Freude für diesen Brief die Kehle durchschneiden.","Sei fortunato che io non possa permettermi di farmi vedere dai maghi. Chiunque altro ti taglierebbe la gola per quella lettera.","","","Info_Diego_Brief_11_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:132","Die Magier belohnen ihre Boten immer sehr gut, und die meisten hier haben gar nichts, verstehst du?","I maghi pagano bene i corrieri e molta gente qui non ha nulla.","","","Info_Diego_Brief_11_04","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:133","Wenn ich du wäre, würde ich die Schnauze halten, bis ich einen der Magier treffe. Obwohl das in deiner Lage nicht allzu wahrscheinlich ist.","Se fossi in te, terrei la bocca chiusa finché non incontri uno dei maghi. Anche se, nelle tue condizioni, sarà difficile che accada.","","","Info_Diego_Brief_11_05","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:134","Wieso nicht?","Perché?","","","Info_Diego_Brief_15_06","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:135","Die Magier sind in der Burg im Alten Lager. Nur Gomez' Leuten ist es erlaubt, die Burg zu betreten.","I maghi si trovano nel castello di Campo Vecchio, dove solo la gente di Gomez è autorizzata a entrare.","","","Info_Diego_Brief_11_07","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:147","Warum hast du mir geholfen?","Perché mi hai aiutato?","","","Info_Diego_WarumGeholfen.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:161","Warum hast du mir geholfen?","Perché mi hai aiutato?","","","Info_Diego_WarumGeholfen_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:162","Weil du Hilfe gebraucht hast. Bullit und seine Jungs hätten dich vielleicht kaltgemacht.","Perché ne avevi bisogno, altrimenti Bullit e i suoi ragazzi ti avrebbero ucciso.","","","Info_Diego_WarumGeholfen_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:163","Und das konnte ich nicht mit ansehen. Schließlich bin ich den ganzen weiten Weg gekommen um dir einen Vorschlag zu machen.","E non potevo restare a guardare, visto che ho fatto tanta strada per darti un suggerimento.","","","Info_Diego_WarumGeholfen_11_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:164","Einen Vorschlag...","Un suggerimento...","","","Info_Diego_WarumGeholfen_15_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:165","Ja. Deine Begegnung mit Bullit und seinen Jungs hat dir hoffentlich gezeigt, dass du Schutz brauchst.","Esatto. Dopo il tuo piccolo incidente con Bullit, avrai capito che hai bisogno di protezione.","","","Info_Diego_WarumGeholfen_11_04","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:166","Jeder, der hier ankommt, wird vor eine Wahl gestellt. Es gibt drei Lager in der Kolonie, und einem davon wirst du dich anschließen müssen.","Tutti i nuovi arrivati devono scegliere a quale dei tre campi della colonia desiderano appartenere. ","","","Info_Diego_WarumGeholfen_11_05","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:167","Ich bin hier, um Neuen wie dir klarzumachen, dass sie bei uns im alten Lager am besten aufgehoben sind.","Io sono qui per dimostrare loro che il migliore è Campo Vecchio.","","","Info_Diego_WarumGeholfen_11_06","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:177","Wo ist dieser Bullit jetzt?","Bullit dove si trova, adesso?","","","Info_Diego_Bullit.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:190","Wo ist dieser Bullit jetzt?","Bullit dove si trova adesso?","","","Info_Diego_Bullit_15_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:191","Er und die anderen bringen die Waren aus der Außenwelt ins alte Lager. Dort kannst du ihn finden.","Lui e gli altri portano le merci dal mondo esterno al campo. Lo troverai lì.","","","Info_Diego_Bullit_11_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:192","Aber wenn du vorhast, dich mit ihm anzulegen, sei vorsichtig. Er ist ein erfahrener Kämpfer.","Ma se hai intenzione di sfidarlo, ti consiglio di stare molto attento. È un combattente esperto.","","","Info_Diego_Bullit_11_04","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:204","Okay, was muss ich über diesen Ort wissen?","Va bene. Cosa devo sapere di questo posto?","","","Info_Diego_Kolonie.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:217","Okay, was muss ich über diesen Ort wissen?","Va bene. Cosa devo sapere di questo posto?","","","Info_Diego_Kolonie_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:218","Wir nennen es die Kolonie. Du wirst sicher schon gehört haben, dass wir hier Erz für den König fördern.","Noi lo chiamiamo la colonia. Sai già che produciamo metallo per il Re. ","","","Info_Diego_Kolonie_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:219","Nun - zumindest wir vom alten Lager.","Beh, perlomeno noi di Campo Vecchio.","","","Info_Diego_Kolonie_11_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:220","Es gibt drei Lager innerhalb der Barriere. Das alte Lager ist das größte von ihnen. Es war auch das erste.","All'interno della Barriera ci sono tre campi. Il più grande è Campo Vecchio.","","","Info_Diego_Kolonie_11_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:230","Erzähl mir was über die Barriere.","Parlami ancora della Barriera.","","","Info_Diego_Barriere.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:243","Erzähl mir was über die Barriere.","Parlami ancora della Barriera.","","","Info_Diego_Barriere_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:244","Da gibt es nicht viel zu erzählen. Sie ist undurchdringlich.","Non c'è molto da dire. È impenetrabile.","","","Info_Diego_Barriere_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:245","Was passiert, wenn ich hier einfach wieder rausspaziere?","Che succede se cerco di andarmene da qui?","","","Info_Diego_Barriere_15_02","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:246","Der Letzte, der das versucht hat, ist tot auf der anderen Seite angekommen. Diese verdammte Barriere lässt dich zwar rein, aber raus kommst du hier nicht mehr.","L'ultimo che ci ha provato è arrivato morto dall'altra parte. Questa maledetta Barriera ti permette di entrare, ma non di uscire.","","","Info_Diego_Barriere_11_03","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:247","Wenn es einen Weg hier raus gibt, werde ich ihn finden.","Se c'è una via d'uscita, la troverò.","","","Info_Diego_Barriere_15_04","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:248","Hast du's SO eilig, hier wieder rauszukommen? Du bist ja gerade mal da!","Già hai tanta fretta d'andartene? Ma se sei appena arrivato!","","","Info_Diego_Barriere_11_05","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:258","Was ist mit den beiden anderen Lagern?","Che mi dici degli altri due campi?","","","Info_Diego_OtherCamps.description","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:272","Was ist mit den beiden anderen Lagern?","Che mi dici degli altri due campi?","","","Info_Diego_OtherCamps_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:273","Die beiden anderen Lager haben sich abgespalten, um ihren schwachsinnigen Ausbruchsplänen nachzugehen.","Si sono divisi per perseguire i propri folli piani di fuga.","","","Info_Diego_OtherCamps_11_01","",""
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:274","Es gibt das neue Lager im Westen der Kolonie. Die Magier dort meinen, wenn sie genug Erz zusammengekratzt haben, können sie die Barriere einfach sprengen.","A ovest trovi Campo Nuovo, dove i maghi credono di poter far esplodere la Barriera, non appena avranno accumulato abbastanza metallo.","","","Info_Diego_OtherCamps_11_02","",""
