"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:33","Du kümmerst dich um die Reisfelder, richtig?","Tú te encargas de los arrozales, ¿verdad?","","","DIA_Ricelord_Hello.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:43","Du kümmerst dich um die Reisfelder, richtig?","Tú te encargas de los arrozales, ¿verdad?","","","DIA_Ricelord_Hello_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:44","Warum? Suchst du Arbeit?","¿Por qué? ¿Buscas trabajo?","","","DIA_Ricelord_Hello_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:56","Hast du Arbeit für mich?","¿Tienes trabajo para mí?","","","DIA_Ricelord_Arbeit.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:71","Hast du Arbeit für mich?","¿Tienes algún trabajo para mí?","","","DIA_Ricelord_Arbeit_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:72","Geh zu Lefty. Er ist meistens hier vorne rechts neben der Scheune.","Ve a ver a Lefty. Suele estar a la derecha de la cabaña.","","","DIA_Ricelord_Arbeit_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:86","Wir könnten handeln...","Podemos hacer un trato...","","","DIA_Ricelord_TRADE.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:99","Wir könnten handeln ...","Podemos hacer un trato...","","","DIA_Ricelord_TRADE_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:100","Was hast du denn zu bieten?","¿Qué puedes ofrecerme?","","","DIA_Ricelord_TRADE_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:113","Lefty schickt mich.","Me manda Lefty.","","","DIA_Ricelord_LeftySentMe.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:129","Lefty schickt mich.","Me manda Lefty.","","","DIA_Ricelord_LeftySentMe_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:130","Ach so. Was hat er gesagt?","¿Ah sí? ¿Y qué ha dicho?","","","DIA_Ricelord_LeftySentMe_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:144","Ich soll den Bauern Wasser bringen.","Tengo que llevar un poco de agua a los campesinos.","","","DIA_Ricelord_GetWater.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:157","Ich soll den Bauern Wasser bringen.","Tengo que llevar un poco de agua a los campesinos.","","","DIA_Ricelord_GetWater_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:161","Gut. Hier sind ein Dutzend Flaschen Wasser.","De acuerdo. Aquí tienes una docena de botellas de agua.","","","DIA_Ricelord_GetWater_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:162","Es gibt etwa doppelt so viele Bauern, also verteil sie gleichmäßig.","Hay el doble de campesinos, así que asegúrate de repartirla equitativamente.","","","DIA_Ricelord_GetWater_12_02","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:174","Das war gestern, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","¡Eso fue ayer, muchacho! Será mejor que vayas a verle. Tiene que decirte algo.","","","DIA_Ricelord_GetWater_TooLate_12_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:179","Das war vor einigen Tagen, Bursche! Geh besser zu ihm. Er hat dir was zu sagen.","¡Eso fue hace unos días, muchacho! Será mejor que vayas a verle. Tiene que decirte algo.","","","DIA_Ricelord_GetWater_TooLate_12_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:34","Lefty schickt mich. Ich hab' Wasser für dich.","Me manda Lefty. Os he traído un poco de agua.","","","Info_Horatio_Wasser.description","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:48","Lefty schickt mich. Ich hab' Wasser für dich.","Me manda Lefty. Os he traído un poco de agua.","","","Info_Horatio_Wasser_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:51","Danke, Mann! Ich war schon kurz davor, den Schlamm zu saufen.","¡Gracias, tío! Estaba a punto de empezar a beber barro.","","","Info_Horatio_Wasser_09_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:70","Du hast nichts mehr. Ich hol mir von den anderen was.","Se te ha acabado. Pediré un poco a los demás.","","","Info_Horatio_Wasser_NOWATER_09_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:97","Was machst du hier? Willst du Ärger haben?","¿Qué haces aquí? ¿Buscas problemas?","","","DIA_Horatio_Hello_09_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:100","Ärger? Von wem? Von einem Bauern?","¿Problemas? ¿Con quién? ¿Con un campesino?","","","DIA_Horatio_Hello.DIA_Horatio_Hello_PissOff","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:101","Entspann dich! Ich bin neu hier.","¡Eh, tranquilo! Soy nuevo.","","","DIA_Horatio_Hello.DIA_Horatio_Hello_BeCool","Info_AddChoice",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:106","Entspann dich! Ich bin neu hier.","¡Eh, tranquilo! Soy nuevo.","","","DIA_Horatio_Hello_BeCool_15_00","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:107","Hm ... siehst mir ganz in Ordnung aus - hier weiß man nie. Da kommt jeden Tag ein neuer Mistkerl, der's wissen will.","Uh... Pareces buena gente. Nunca se sabe. Todos los días llegan nuevos pensando que son la monda.","","","DIA_Horatio_Hello_BeCool_09_01","",""
Scripts/content/Story/MISSIONS/DIA_Bau_901_Horatio.d:113","Ärger? Von wem? Von einem Bauern?","¿Problemas? ¿Con quién? ¿Con un campesino?","","","DIA_Horatio_Hello_PissOff_15_00","",""
