"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","1 Stück rohes Fleisch braten.","Обсмажити 1 шматок сирого м'яса.","","False","PC_FryMeat_1.description","",""
"","5 Stücke rohes Fleisch braten.","Обсмажити 5 шматків сирого м'яса.","","False","PC_FryMeat_5.description","",""
"","10 Stücke rohes Fleisch braten.","Обсмажити 10 шматків сирого м'яса.","","False","PC_FryMeat_10.description","",""
"","Alles braten. (","Обсмажити всі шматки сирого м'яса. (","","False","DESC_FRYMEAT_ALL","",""
"","1 x Rohstahl erhitzen.","Нагріти 1 шматок необробленої сталі.","","False","PC_SmithFire_1.description","",""
"","5 x Rohstahl erhitzen.","Нагріти 5 шматків необробленої сталі.","","False","PC_SmithFire_5.description","",""
"","10 x Rohstahl erhitzen.","Нагріти 10 шматків необробленої сталі.","","False","PC_SmithFire_10.description","",""
"","Gesamten Rohstahlvorrat erhitzen. (","Нагріти всі шматки необробленої сталі. (","","False","DESC_SMITHFIRE_ALL","",""
"","1 x glühenden Stahl schmieden.","Викувати 1 лезо зі розпеченого шматка сталі.","","False","PC_SmithAnvil_1.description","",""
"","5 x glühenden Stahl schmieden.","Викувати 5 лез зі розпечених шматків сталі.","","False","PC_SmithAnvil_5.description","",""
"","10 x glühenden Stahl schmieden.","Викувати 10 лез зі розпечених шматків сталі.","","False","PC_SmithAnvil_10.description","",""
"","Alles schmieden. (","Викувати леза зі всіх шматків розпеченої сталі. (","","False","DESC_SMITHANVIL_ALL","",""
"","eine glühende Klinge abschrecken.","Загартувати 1 нагріте лезо.","","False","PC_SmithCool_1.description","",""
"","5 glühende Klingen abschrecken.","Загартувати 5 нагрітих лез.","","False","PC_SmithCool_5.description","",""
"","10 glühende Klingen abschrecken.","Загартувати 10 нагрітих лез.","","False","PC_SmithCool_10.description","",""
"","Alle glühenden Klingen abschrecken. (","Загартувати всі нагріті леза. (","","False","DESC_SMITHCOOL_ALL","",""
"","eine Klinge als Schwert schleifen.","Заточити 1 лезо у меч.","","False","PC_SmithSharp_1.description","",""
"","5 Klingen als Schwerter schleifen.","Заточити 5 лез у меч.","","False","PC_SmithSharp_5.description","",""
"","10 Klingen als Schwerter schleifen.","Заточити 10 лез у меч.","","False","PC_SmithSharp_10.description","",""
"","Alle Klingen als Schwerter schleifen. (","Заточити всі леза у мечі. (","","False","DESC_SMITHSHARP_ALL","",""
